Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
33544,0.35,5,7,4,62.0,55.0,829,4.47,4.53,2.79
26752,2.21,5,7,2,62.0,57.0,16558,8.36,8.31,5.18
45914,0.53,5,6,4,60.0,57.0,1721,5.24,5.3,3.16
3071,0.8,4,7,3,61.7,58.0,3312,5.96,5.93,3.67
43829,0.41,5,6,7,61.5,56.0,1444,4.81,4.82,2.96
40781,0.43,2,5,5,61.4,61.1,1167,4.85,4.87,2.98
12292,1.21,4,3,2,61.9,55.0,5218,6.84,6.79,4.22
17270,1.02,3,6,4,60.0,59.0,6915,6.54,6.59,3.94
50290,0.31,5,6,3,61.8,53.9,542,4.32,4.35,2.68
32768,0.34,4,7,3,59.8,61.0,803,4.53,4.5,2.7
38916,0.33,5,4,8,61.6,56.0,1052,4.48,4.45,2.75
36955,0.33,5,2,4,61.4,56.0,480,4.45,4.48,2.74
16802,1.28,5,3,3,62.4,56.0,6701,6.93,6.91,4.32
35276,0.39,5,5,5,62.5,57.0,895,4.66,4.69,2.92
23030,0.33,4,4,3,59.8,58.0,631,4.54,4.52,2.71
29627,0.32,2,7,2,64.1,54.0,441,4.34,4.37,2.79
42143,0.5,3,6,3,60.7,59.0,1281,5.09,5.13,3.1
10758,1.01,4,4,5,59.5,60.0,4853,6.49,6.48,3.86
38245,0.32,5,6,8,61.1,56.0,1018,4.42,4.48,2.72
16092,1.32,4,3,2,62.7,58.0,6431,7.05,6.99,4.4
26175,1.55,5,4,6,61.9,54.0,15512,7.41,7.45,4.6
48586,0.54,5,7,4,61.8,56.0,1993,5.24,5.21,3.23
1807,0.7,3,7,5,62.9,60.0,3054,5.62,5.67,3.55
46788,0.5,2,6,5,58.2,61.0,1806,5.19,5.22,3.03
1110,0.73,5,6,3,61.4,58.0,2914,5.76,5.8,3.55
33350,0.41,4,4,4,60.9,58.0,827,4.8,4.83,2.93
14824,1.01,2,6,4,61.2,62.0,5972,6.34,6.38,3.89
49396,0.5,5,4,8,61.5,56.0,2104,5.11,5.14,3.15
50453,0.71,5,4,2,61.5,55.0,2264,5.74,5.78,3.54
13718,0.37,5,2,5,60.8,56.0,603,4.67,4.71,2.85
19186,1.21,5,2,6,61.3,56.0,7938,6.83,6.87,4.2
5195,0.73,5,4,6,62.4,57.0,3777,5.71,5.79,3.59
38025,0.33,4,3,8,61.7,59.0,1010,4.45,4.43,2.74
323,1.04,4,4,1,62.2,58.0,2801,6.46,6.41,4.0
51828,0.7,3,6,3,63.1,56.0,2421,5.62,5.69,3.57
47996,0.37,5,3,3,59.7,56.0,533,4.67,4.71,2.8
12263,1.26,4,1,3,61.7,58.0,5207,6.99,6.91,4.29
18312,1.21,3,3,5,62.6,58.0,7445,6.71,6.75,4.21
42548,0.59,3,6,2,60.5,58.0,1325,5.43,5.51,3.31
31787,0.42,3,3,4,62.1,57.0,773,4.76,4.8,2.97
46728,0.7,3,2,2,59.5,58.0,1795,5.73,5.79,3.43
37223,0.43,5,6,3,62.6,56.0,975,4.82,4.79,3.01
52378,0.7,3,4,4,60.6,60.0,2507,5.67,5.78,3.47
30473,0.31,5,2,7,61.4,54.0,732,4.41,4.38,2.7
34524,0.33,3,4,7,61.4,60.0,868,4.39,4.44,2.71
51368,0.73,4,2,4,59.7,59.0,2365,5.94,5.81,3.51
15070,1.02,4,4,4,62.7,58.0,6058,6.4,6.45,4.03
27884,0.36,5,2,6,61.5,57.0,655,4.55,4.58,2.8
24449,1.62,5,5,3,62.7,56.0,12712,7.44,7.5,4.68
28125,0.35,2,6,5,63.1,56.0,663,4.49,4.54,2.85
20883,1.73,4,1,3,60.7,58.0,9105,7.73,7.78,4.71
11629,1.01,2,4,4,60.2,65.0,5050,6.55,6.48,3.92
48846,0.71,5,4,2,61.8,56.0,2031,5.7,5.72,3.53
33529,0.35,3,6,5,62.3,60.0,829,4.5,4.52,2.81
35457,0.49,4,1,2,59.8,59.0,900,5.14,5.12,3.07
2750,0.73,5,5,3,61.7,55.0,3249,5.79,5.82,3.58
19892,1.2,3,4,5,60.2,60.0,8442,6.91,7.0,4.19
950,0.5,5,6,6,62.2,54.0,2889,5.08,5.12,3.17
36896,0.33,5,3,8,60.5,56.0,959,4.54,4.52,2.74
4072,0.31,2,7,3,63.5,56.0,571,4.29,4.31,2.73
3518,0.81,5,6,3,62.3,57.0,3404,5.95,5.99,3.72
36773,0.34,4,5,5,60.4,58.0,956,4.53,4.51,2.73
42705,0.56,3,5,3,63.3,56.0,1338,5.26,5.22,3.32
50944,0.8,3,1,5,63.4,56.0,2321,5.9,5.87,3.73
52248,0.71,5,3,5,60.3,59.0,2487,5.75,5.79,3.48
33209,0.4,2,4,5,59.6,61.0,820,4.8,4.86,2.88
23913,1.07,5,6,6,61.3,56.0,12031,6.57,6.62,4.04
38301,0.35,3,7,2,62.4,57.0,487,4.47,4.5,2.8
40579,0.54,5,4,2,60.4,59.0,1153,5.24,5.29,3.18
43576,0.41,5,6,7,60.7,57.0,1431,4.85,4.8,2.93
46670,0.59,3,6,4,62.3,55.0,1789,5.39,5.43,3.37
1072,0.31,4,2,4,62.3,60.0,558,4.32,4.31,2.69
21413,1.62,4,6,2,61.8,59.0,9526,7.55,7.52,4.66
41147,0.39,5,7,4,61.4,56.0,1197,4.71,4.73,2.9
6540,1.01,4,2,3,61.8,58.0,4072,6.45,6.37,3.96
40704,0.4,5,6,6,61.8,55.0,1158,4.74,4.78,2.94
27165,1.61,5,5,5,62.0,55.0,17414,7.55,7.52,4.67
28205,0.38,3,4,3,59.5,62.0,666,4.67,4.71,2.79
31618,0.23,3,6,4,62.5,59.0,373,3.91,3.96,2.46
37949,0.28,3,6,4,62.7,58.0,487,4.15,4.18,2.61
53736,0.7,5,4,4,62.3,57.0,2723,5.66,5.7,3.54
46484,0.62,4,5,3,63.0,59.0,1777,5.43,5.39,3.41
30556,0.31,5,7,4,61.2,55.0,734,4.36,4.46,2.7
